"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
99531,33.1656,-117.029083,"Mayflower Leash Free Dog Park","Escondido","9677927"
101334,33.151623,-117.110252,"Sikes Adobe Historic Farmstead","Escondido","14500993"
114253,33.080002,-117.040001,"Ofila Vineyard","Escondido","6058691|10672393"
139354,33.165512,-117.05396,"Daley Ranch","Escondido","5190029|5873199|5907706|6049157|6200646|6410336|6664368|6828400|8212179|8707570|8898838|9117112|9743180|9807284|10890264|11651958|40087272"
183746,33.209842,-117.085681,"*Daley Ranch Cougar pass entrance","Escondido","17389039|17388653"
193710,33.067802,-117.064705,"Lake Hodges Trail Head","Escondido","5245485|6416215|6554577|7604517"
214051,33.086449,-117.044098,"Rancho Bernardo Park","Escondido","44275232|47750502"
224892,33.073154,-117.03992,"Orfila Vineyards & Winery","Escondido","8225786|72314592"
226204,33.115097,-117.08237,"HABITAT HOUSE BUILD","Escondido","5455693"
258307,33.095737,-117.135727,"Harmony Grove Spiritualist Association","Escondido","13621000|14614235"
267710,33.114323,-117.101036,"Coco's Restaurant","Escondido","12161335"
304747,33.088432,-117.072,"Hacienda De Vega","Escondido","13808433"
320433,33.06781,-117.0663,"Lake Hodges (North)","Escondido","6005945|6005803|8197715|8814045|10739582|12466175|12578096|12628273|12961026|13026153|13172049|13336239|13362991|13397602|13785049|14000277|14072006|14286056|14281488|14437163|14707687|14747266|14831840|14920462|14969739|15246070|15291120|15387902|15458730|15589386|15659731|15726616|16012982|16081295|16138776|16158566|16199515|16557925|16771240|16908015|17078590|17179690|17248239|17342528|17521426|17779441|20189841|21238991|21952621|22447081|23221871|23704311|24537901|25563271|26876881|28661711|29332931|30431081|31476062|33316532|33318182|34107212|35072862|37003082|37498812|37752622|38586762|38447022|40023332|40653932|43522732|43989752|44711162|45625132|45931282|46284432|48403842|50541442|60873992|63306042|73621352|78453852|78652162|79377572|80556262|82903692|82687962|85919272|85919762|88858452|91728382|91833872|96621462|96848352|98288582|101763172|100705932|103901402|10580668|26777341"
335051,33.115681,-117.119553,"Stone Brewery","Escondido","6102169|13283582|13579549"
339911,33.125004,-117.09013,"Coco Loco Restaurant","Escondido","6135292"
347514,33.209736,-117.085655,"Daley Ranch - Cougar Pass Entrance","Escondido","11515864|12578237"
347593,33.07837,-117.11585,"Lake Hodges Entrance","Escondido","22997471|23411381|25586751"
347737,33.161068,-117.092865,"Reidy Creek Golf Course","Escondido","38449072"
352369,33.11788,-117.08658,"Mi Guadalajara Mexican Restaurant","Escondido","14363347|22715801"
382935,33.166073,-117.02884,"Mayflower Dog Park","Escondido","7063609|7429770"
418293,33.09,-117.110001,"Valley Pkwy & Ash St","Escondido","6663661|6580398"
422824,33.099998,-117.080002,"Jolt' N Joes","Escondido","6693438"
428600,33.099998,-117.080002,"Shell Station","Escondido","6731368"
436661,33.119999,-117.089996,"Escondido Auto Show","Escondido","6776902"
443980,33.122204,-117.081223,"R. O'Sullivan's Irish Pub","Escondido","98458522|98460272|98462812|14527077|14084558|18347521|98459202"
446595,33.1,-117.08,"North County Fair","Escondido","6857757|6888425|6888618"
457198,33.09,-117.11,"Felicita County Park","Escondido","6937855"
