"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
291817,37.889999,-122.57,"Mt. Tamalphis Park HQ","Mill Valley","5833097"
527002,37.927532,-122.58202,"Mount Tamalpais - Rock Springs","Mill Valley","58335552"
661758,37.91217,-122.579704,"The Mountain Home Inn","Mill Valley","13022193"
737538,37.869246,-122.528182,"Tennessee Valley Trailhead","Mill Valley","19652081|13640591"
780559,37.87636,-122.599908,"Starbucks","Mill Valley","15672509|15671766|72421622|17253285"
925680,37.911766,-122.57914,"Mountain Theatre, Mt .Tam","Mill Valley","55117342"
940010,37.912171,-122.579702,"Mountain Home Inn","Mill Valley","13225855"
946732,37.911764,-122.579138,"Cushing Memorial Amphitheater","Mill Valley","10406547|10487080|10526267|10597231|84841132"
1186947,37.89878,-122.528081,"MVCC- Mill Valley Community Center","Mill Valley","12786597"
1280040,37.91048,-122.57755,"Mount Tamalpais State Park","Mill Valley","13574882"
1350452,36.364169,-121.582664,"Jerry Stocking in CA","Mill Valley","14451030"
1356591,37.90258,-122.51265,"Starbucks Mill Valley, Strawberry Village","Mill Valley","14530678|16103584|14513677|15388326|16103477"
1359543,37.898939,-122.515877,"Starbucks Mill Valley, Strawberry Village","Mill Valley","38755722|54143872|67241652|74449162|85258022|86655502|100789522"
1473482,37.907187,-122.574826,"Mt. Tamalpias","Mill Valley","21681391"
1571602,37.871803,-122.522194,"Tam Junction Center","Mill Valley","17469456"
1574375,37.907188,-122.574829,"Mt. Tamalpais State Park","Mill Valley","65022722"
1625594,37.870831,-122.526695,"Tennessee Valley Trailhead","Mill Valley","30849021"
5262242,37.89167,-122.569183,"Muir Woods Park","Mill Valley","48863452|98364102"
5461882,37.907017,-122.547935,"Sweetwater Music Hall","Mill Valley","85913402|87784882"
7904492,37.906036,-122.544975,"Mt Tamalpais","Mill Valley","70744922|88889452"
11168112,37.906036,-122.544975,"Mt. Tamalpais, Rock Spring Parking Lot","Mill Valley","99827542"
11717182,37.906036,-122.544975,"Mt. Tamalpais, Rock Spings Parking Lot","Mill Valley","104431132"
