"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"cwwstyplbkb","Meetup at Foster City Dog Park with your Frenchie",1308527956000,1.31274e+12,37.561291,-122.268974,"Foster City Dog Park","Foster City"
"cwwstypmbgb","Meetup at Foster City Dog Park with your Frenchie",1308527956000,1315159200000,37.561291,-122.268974,"Foster City Dog Park","Foster City"
"cwwstypnbdb","Meetup at Foster City Dog Park with your Frenchie",1308527956000,1317578400000,37.561291,-122.268974,"Foster City Dog Park","Foster City"
"6010518","Dad's Night Out Tuesday Sep 11 7pm Left Bank Menlo Park",1184200842000,1189562400000,37.439999,-122.190002,"Left Bank","Menlo Park"
"9558156","62nd Annual Pet Parade in Los Altos",1232402952000,1242489600000,37.378853,-122.11566,"Pet Parade","Los Altos"
"104814512","Free Stroller Strides Workout for first time clients",1360975595000,1363105800000,37.499283,-122.260345,"Burton Park","San Carlos"
"vbgsqyrdbkc","Playgroup at Burton Park",1300919226000,1361989800000,37.499283,-122.260345,"Burton Park","San Carlos"
"8546460","Sacred Paths Bookstore Psychic Fair",1218752055000,1221328800000,37.56679,-122.3238,"Sacred Paths Bookstore","San Mateo"
"53012022","Edgewood Park 1pm Hike in Redwood City w/ Peggy 2 + groups expect big turn out",1329719297000,1330894800000,37.474109,-122.278413,"Edgewood Park & Preserve","Redwood City"
"49081522","Edgewood Park 1pm Hike in Redwood City w/ Peggy 2 other groups (reschedule)",1327198262000,1327870800000,37.474109,-122.278413,"Edgewood Park & Preserve","Redwood City"
"16594454","President's Day Edgewood Park San Mateo County 2-hour hike",1297904172000,1.298322e+12,37.474109,-122.278413,"Edgewood Park & Preserve","Redwood City"
"13616928","Co-Founders August MeetUp",1274994451000,1282075200000,37.41317,-122.071236,"Microsoft Campus, Bldg 1","Mountain View"
"7099365","Saturday Tennis Play and Practice",1200178280000,1201982400000,32.764694,-97.125786,"lamar high school tennis courts","Arlington"
"9525187","The Consolations of Philosophy by Alain De Bottom",1231976913000,1235858400000,32.808662,-96.808945,"Library Bar At the Melrose Hotel","Dallas"
"8142728","Tito, from Egypt, teaching in Redwood City, CA",1213468377000,1220808600000,37.48606,-122.22628,"Odd Fellows Hall","Redwood City"
"8142702","Tito, from Egypt, teaching in Redwood City, CA",1213468089000,1220720400000,37.48606,-122.22628,"Odd Fellows Hall","Redwood City"
"6238199","Russell's Views on Happiness",1187997317000,1.19034e+12,37.43367,-122.13876,"Szechwan Cafe","Palo Alto"
"pmbpnyqdblb","Mission Cliffs - Gym Meetup (All Levels)",1327960329000,1328758200000,37.760151,-122.412621,"Mission Cliffs Climbing & Fitness","San Francisco"
"8309885","Bay Area Beagles August Meetup #2 Mtn View",1215647878000,1220122800000,37.43257,-122.08328,"Mountain View Dog Park","Mountain View"
