"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
613986,34.144333,-118.390205,"CBS Studio Center","Studio City","10662388|14185491|37435322|10662445|14185483|37435332"
714073,34.145826,-118.413122,"Sportsman's Lodge ","Studio City","13384166|13628897|13384131|13628871|13364771|13628828"
