"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
366638,32.529999,-97.309998,"Chick Fil a","Burleson","6317758|6358793"
396160,32.529999,-97.309998,"The Texas Fillup","Burleson","6408383"
952457,32.542849,-97.323312,"Burleson City Hall","Burleson","10480686"
1284022,32.518057,-97.350424,"Premiere 14 at Burleson Commons","Burleson","77133152"
1338743,32.499426,-97.340655,"Lone Oak Winery","Burleson","30175651"
1427259,32.543227,-97.319336,"Fuzzy's Taco Shop","Burleson","15764336"
6632752,32.538364,-97.334061,"iSWEAT Studio","Burleson","60081302|63736212|69788632|70537232|70537652|70537792"
7843712,32.544804,-97.346146,"Therese's home","Burleson","qswlbdyqjbnc"
7851032,32.567432,-97.317924,"Spring Creek Barbeque","Burleson","91905232|91379412"
7851702,32.567432,-97.317924,"Spring Creek Barbeque","Burleson","70281542"
7851722,32.567432,-97.317924,"Spring Creek Barbeque","Burleson","70281612"
7851782,32.567432,-97.317924,"Spring Creek Barbeque","Burleson","70281692"
8449692,32.499348,-97.34063,"Lost Oak Winery Vineyard","Burleson","75430932|84484142"
10118762,32.511494,-97.30027,"Sunset Winery","Burleson","89630822|98619272"
10917692,32.571671,-97.332085,"Ria's home","Burleson","97129142"
