"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
420848,33.616184,-117.907646,"Mama Gina's","Newport Beach","7691778"
568032,33.655663,-117.87595,"Rosepine Ranch","Newport Beach","8257209|8257158|8521869|8257234|10185848|10560865|11105276|11117107"
661893,33.667675,-117.865623,"Radisson Hotel","Newport Beach","16064751|26975811"
661897,33.61929,-117.87571,"Island Hotel","Newport Beach","6756390"
661908,33.616043,-117.91373,"Balboa Bay Club","Newport Beach","11018101"
661916,33.624878,-117.89374,"Newport Aquatic Center Inc","Newport Beach","10399906|14011274"
724965,33.617663,-117.878286,"Muttropolis @ Fashion Island","Newport Beach","21345491|21347181|21359691|22876151|23857801|30442461|37730642|49305172|49305592|49306022|55106262|55106382|57142602|57148212|57148572|57149032|60977012|60977402|67747602|67748932|72761262|72762652|75735272|75736242|82280032|84054002|84054242|84054742|92199112|93034552|93036392|97724922|97725652|102531172|102532812"
1226158,33.655819,-117.876599,"Private Home","Newport Beach","12973550"
1321341,33.618408,-117.871971,"Cresa Partners","Newport Beach","14011133"
1513197,33.602562,-117.898926,"Davey's Locker Sportfishing, Inc","Newport Beach","16524982|16524981"
4045872,33.626076,-117.893761,"Newport Aquatic Center","Newport Beach","74049582"
4467192,33.670853,-117.864716,"Ten Nightclub","Newport Beach","41405642"
5785722,33.620655,-117.925385,"Pacific Avalon Yacht Charters","Newport Beach","53103732|53103762"
10531792,33.600956,-117.858238,"No More Pain LA","Newport Beach","89034172"
10550922,33.615471,-117.914345,"The Balboa Bay Club & Resort","Newport Beach","93793482"
