"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
114338,37.457283,-121.863098,"Milpitas Dog Park at Ed Levin County Park","Milpitas","5392485,5470365,5556582,5771765,6321450,8511047,8751332,9493574,9742528,9954266,10165663,52008162,56006152,60630882,64554352,68714832,73415812,76538422,87082662"
186821,37.439999,-121.889999,"Ed Levin County Park","Milpitas","5208371"
614554,37.457396,-121.861129,"SANDY WOOL LAKE - Ed Levin County Park","Milpitas","34051892"
661764,37.447941,-121.849014,"Ed Levin County Park","Milpitas","9545540,9647520,10009674,10483126,12198875,12198950,12198981,13513168,5463524,6573314,7354786,12746612,16476796"
958207,37.42151,-121.887222,"Humane Society Silicon Valley","Milpitas","14883701"
1094515,37.426387,-121.897787,"Barkley Square","Milpitas","11642309,11642321,11642346,11642349"
4479742,37.43277,-121.906876,"Milpitas Library","Milpitas","56141582"
10808232,37.42551,-121.9142,"DENNYS ","Milpitas","dzvxzdyqqbbc"
