"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
71670,35.956593,-97.24139,"Turner Falls Wilderness Area","Davis","11543881"
523606,35.66787,-95.420616,"Turner Falls Park","Davis","7300984|12859727|12807837|13773425|lsbrqypfbzb|17151521|17151540|35970822"
1235054,34.429786,-97.1494,"Turner Falls Park ","Davis","13773217|13070191|14599356|16895682|17151462|17151554"
1648251,38.546602,-121.744347,"Davis Central Park","Davis","17672161"
2147301,38.547478,-121.78051,"Sustainable Community","Davis","22033461"
2640951,38.547478,-121.78051,"Village Homes","Davis","26242971"
3516842,38.534512,-121.747063,"UC Davis Conference Center, Davis, CA 95616","Davis","33637342"
6894662,38.544907,-121.740517,"University of California, Davis","Davis","62204582|62358732"
