"event_id","event_name","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"dszfpdyqpbgb","San Diego Sunday Co-ed Softball",1352054700000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqlbhb","San Diego Sunday Co-ed Softball",1344188700000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqjbnb","San Diego Sunday Co-ed Softball",1339349400000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qbwzwdyqqbvb","San Diego Sunday Co-ed Softball",1355683500000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqkbmc","San Diego Sunday Co-ed Softball",1343583900000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqjbfb","San Diego Sunday Co-ed Softball",1338744600000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dszfpdyqpbxb","San Diego Sunday Co-ed Softball",1353264300000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqnbkb","San Diego Sunday Co-ed Softball",1349631900000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqhbbc","San Diego Sunday Co-ed Softball",1.337535e+12,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qbwzwdyqqbfc","San Diego Sunday Co-ed Softball",1356288300000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqgbtb","San Diego Sunday Co-ed Softball",1.334511e+12,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqhbkc","San Diego Sunday Co-ed Softball",1338139800000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqjbgc","San Diego Sunday Co-ed Softball",1.340559e+12,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"5355248","San Diego Sunday Co-ed Softball Meetup Meetup",1170613800000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dszfpdyqnbcc","San Diego Sunday Co-ed Softball",1350841500000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqmbvb","San Diego Sunday Co-ed Softball",1347817500000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqmbnc","San Diego Sunday Co-ed Softball",1349027100000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqhbrb","San Diego Sunday Co-ed Softball - Mother's Day Game",1336930200000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqmbfc","San Diego Sunday Co-ed Softball",1348422300000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqmbdb","San Diego Sunday Co-ed Softball",1346607900000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqgbdc","San Diego Sunday Co-ed Softball",1335115800000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qhhvddyqlbjc","San Diego Sunday Co-ed Softball",1346003100000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqhbjb","San Diego Sunday Co-ed Softball",1336325400000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"qtttqcyqfbhc","San Diego Sunday Co-ed Softball",1332694800000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
"dzgtscyqjbwb","San Diego Sunday Co-ed Softball",1339954200000,32.849998,-117.209999,"Doyle Park Recreation Center","San Diego"
