"event_id","event_name","event_venue_lat","event_venue_lon","venue_name","venue_city"
"45964132","Arts in the Square/Lunch & Shopping*Frisco",33.151,-96.834785,"Frisco Square","Frisco"
"8333152","WIN Frisco POD",33.093918,-96.814758,"La Madeleine Restaurant","Frisco"
"zsrnnypkbmb","Star Party - Frisco Commons Park",33.152554,-96.81427,"Frisco Commons Park","Frisco"
"zsrnnyplbrb","Star Party - Frisco Commons Park",33.152554,-96.81427,"Frisco Commons Park","Frisco"
"zsrnnypfbqb","Star Party - Frisco Commons Park",33.152554,-96.81427,"Frisco Commons Park","Frisco"
"zsrnnynmbpb","Star Party - Frisco Commons Park",33.152554,-96.81427,"Frisco Commons Park","Frisco"
"zsrnnypdbqb","Star Party - Frisco Commons Park",33.152554,-96.81427,"Frisco Commons Park","Frisco"
"zsrnnynqbpb","Star Party - Frisco Commons Park",33.152554,-96.81427,"Frisco Commons Park","Frisco"
"8473735","Nu-Jazz: Lauren Gifford @ Martini Park",33.077625,-96.821381,"(Martini Park)","Plano"
"13326381","Single's Mingle",33.152919,-96.832088,"Lochranns Irish Pub","Frisco"
"15042029","Let's give thanks... to snow",33.152919,-96.832088,"Lochranns Irish Pub","Frisco"
"70790322","Late nite climbing!",33.159907,-96.832305,"Canyons of Frisco","Frisco"
"9586506","Plano Lego Lovers",33.078987,-96.750197,"Davis Library","Plano"
"13618387","Explore: Movies in the Square",33.152954,-96.83256,"Mattitos Tex Mex","Frisco"
"9622341","HOT Monthly Mixer-Frisco Location",33.113518,-96.804203,"La Hacienda Ranch","Frisco"
"9622509","HOT Monthly Mixer-Frisco Location",33.113518,-96.804203,"La Hacienda Ranch","Frisco"
"9622759","HOT Monthly Mixer-Frisco Location",33.113518,-96.804203,"La Hacienda Ranch","Frisco"
"9622415","Women's Business Building Luncheon-Frisco Chapter",33.210887,-96.718747,"LaMadeleine","Frisco"
"8590796","Women's Business Building Luncheon",33.210887,-96.718747,"LaMadeleine","Frisco"
"8590784","Women's Business Building Luncheon",33.210887,-96.718747,"LaMadeleine","Frisco"
"8481664","HOT Pink Mama's Women's Business Building Luncheon",33.210887,-96.718747,"LaMadeleine","Frisco"
"dtxkkcyqkbzb","Coupon Organization 101",33.15521,-96.839873,"Market Street - Frisco","Frisco"
"dtxkkcyrcbwb","Coupon Organization 101",33.15521,-96.839873,"Market Street - Frisco","Frisco"
"15927302","In Door Meet Up Scheduled! ",33.156196,-96.805892,"Every Dog's Day","Frisco"
"16910877","In door meet up ",33.156196,-96.805892,"Every Dog's Day","Frisco"
"14401781","(Indoor) Frisco Meet Up ",33.156196,-96.805892,"Every Dog's Day","Frisco"
"14149011","free Movies in the Square: ""All Dogs Go To Heaven""",33.151001,-96.834786,"Frisco Library","Frisco"
"14719191","5th Annual Christmas in the Square @ Frisco Square",33.151001,-96.834786,"Frisco Library","Frisco"
"55263522","Arts in the Square",33.151824,-96.834911,"Frisco Square","Frisco"
"wvsnnynmbgb","Frisco Farmers Market ",33.151001,-96.834786,"Frisco Farmer's Market","Frisco"
"wvsnnynnbdb","Frisco Farmers Market ",33.151001,-96.834786,"Frisco Farmer's Market","Frisco"
"wvsnnynjbhb","Frisco Farmers Market ",33.151001,-96.834786,"Frisco Farmer's Market","Frisco"
