"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
1404776,37.871473,-122.27487,"Golden Key Piano School","Berkeley","15131856|zddtpynpbdb|zddtpynqbkb|vcwcqypcbxb|zddtpypdbcb|vcwcqypdbtb|zddtpypfbcb|vcwcqypfbtb|zddtpypgbhb|vcwcqypgbzb|zddtpyphbfb|vcwcqyphbwb|zddtpypjbkb|vcwcqypjbcc|zddtpypkbhb|vcwcqypkbzb|zddtpyplbdb|vcwcqyplbvb|zddtpypmbjb|vcwcqypmbbc|zddtpypnbgb|vcwcqypnbxb|zddtpyppbcb|vcwcqyppbtb|zddtpypqbjb|zddtpypqbrb|zddtpypqbkc|zddtpyqcbnb|zddtpyqcbgc|zddtpyqdbkb|zddtpyqdbcc|zddtpyqfbjb|zddtpyqfbbc|zddtpyqgbfb|zddtpyqgbwb|zddtpyqhbtb|zddtpyqhbmc|zddtpyqjbqb|zddtpyqjbjc|zddtpyqkbnb|zddtpyqkbgc|zddtpyqlbkb|zddtpyqlbcc|zddtpyqmbgb|zddtpyqmbxb|zddtpyqnbdb|zddtpyqnbvb|zddtpyqnbnc|dlttxdyqqbxb|dlttxdyrcbtb|qmttxdyrdbhb|dlttxdyrdbzb|qmttxdyrfbhb|dlttxdyrgbvb"
1405173,37.877811,-122.243389,"UC Botanical Garden at Berkeley","Berkeley","15138009"
1412148,37.89627,-122.25223,"Lake Anza Parking Lot","Berkeley","75801192"
1419270,37.866925,-122.302642,"i580 Berkeley Pedestrian Overpass","Berkeley","15210695"
1431857,37.862746,-122.302945," Sign Waving Rally over Freedom Overpass","Berkeley","15482322"
1468403,37.863484,-122.267384,"Stonemountain & Daughter Fabrics","Berkeley","16016078"
1475693,37.871613,-122.268303,"PIQ Berkeley","Berkeley","22057441"
1492898,37.880596,-122.300011,"Pyramid Brewery","Berkeley","16390362|16562210"
1511140,37.87072,-122.293045,"Albatross Pub the","Berkeley","38226032|64563622"
1516374,37.851044,-122.293495,"Berkeley Ironworks Climbing & Fitness","Berkeley","16546206|16720487|16720539|17194491|18233141|21910921|21912151|24692471|28047831|32385702|40853132|dctcjcypqbjb|dctcjcypqbbc|dctcjcyqcbfb|dctcjcyqcbwb|dctcjcyqcbpc|dctcjcyqdbsb|dctcjcyqdblc|dctcjcyqfbrb|dctcjcyqfbkc|dctcjcyqgbnb|dctcjcyqgbgc|dctcjcyqhblb|dctcjcyqhbdc|dctcjcyqjbhb|dctcjcyqjbzb|dctcjcyqkbwb|79867892|86209712|88073132|90402162|101014682"
1522690,37.871296,-122.269318,"Berkeley Rep Theater","Berkeley","16191250"
