"event_id","event_name","event_venue_lat","event_venue_lon","venue_name","venue_city"
"28574941","The Magic of Stones",33.058642,-96.742078,"Peggy's Place in Plano","Plano"
"79245572","The Secret- with Ester Hicks",33.058642,-96.742078,"Peggy's Place in Plano","Plano"
"71930492","ROBERT HOLDEN, Ph.D. Shift Happens! Taking the Next Step in Your Life",33.058642,-96.742078,"Peggy's Place in Plano","Plano"
"67933112","The Art of Aligning Body and Soul-  Marianne Williamson ( I Can Do It)",33.058642,-96.742078,"Peggy's Place in Plano","Plano"
"83036972","Children's Red Balloon Run & Relay",33.078537,-96.801155,"Children's Medical Center-Legacy","Plano"
"80781042","Oct 20th Workshop: Ruby & Rails Boot Camp",33.007874,-96.75161,"Gravity Centre","Plano"
"89786222","December 1st: Sketching UX Workshop",33.007874,-96.75161,"Gravity Centre","Plano"
"qvnchcyppbzb","Raw milk dairy farm where cows get to go out to pasture - in Plano",33.048027,-96.682091,"Lavon Farms","Plano"
"55981972","Review of Alphabet",33.019337,-96.713951,"Starbucks","Plano"
"95392622","Harrington Library Legos",33.02626,-96.693443,"Gladys Harrington Library","Plano"
"83889762","R.E.A.L. Networking Event",33.088806,-96.806282,"NYLO HOTELS Plano","Plano"
"77539642","ARO webcast at the AT&T foundry",33.007874,-96.75161,"AT&T Foundry - Plano","Plano"
"99168372","Startup Grind Dallas Hosts Gabriella Draney (Tech Wildcatters)",33.007874,-96.75161,"AT&T Foundry - Plano","Plano"
"89125392","Startup Grind Hosts Charles Vogt (GENBAND) Wall St. Jrnl US Fastest Growing firm",33.007874,-96.75161,"AT&T Foundry - Plano","Plano"
"83245002","StartUp Grind Hosts Phil Romano, Tech & HealthCare Investor, Restaurant King",33.007874,-96.75161,"AT&T Foundry - Plano","Plano"
"96600092","Firefly Run",33.075008,-96.80777,"Campus at Legacy","Plano"
"49399982","End of Season 2 Celebratory LAN Party!",33.039032,-96.75264,"LEET Computers","Plano"
"98908492","Meetup #0020 @ Madness",33.040009,-96.73175,"Madness Comics","Plano"
"qvrglcyrdbxb","3rd Monday Song Swap",33.028469,-96.699257,"Tino's Too Mexican Restaurant","Plano"
"qvrglcyrcbcc","3rd Monday Song Swap",33.028469,-96.699257,"Tino's Too Mexican Restaurant","Plano"
"68012412","I'm ROCK HARD.  A fitness shoot",33.034107,-96.698799,"Metroflex Gym of Plano","Plano"
"68012252","I'm ROCK HARD.  A fitness shoot",33.034107,-96.698799,"Metroflex Gym of Plano","Plano"
"76012212","Virtue of Selfishness! Discussions! 3rd Meeting Wed, Aug 15, 2012, 6:30 PM",33.019844,-96.698883,"Private Home in North Dallas","Plano"
"59177542","I'd like to meet some local liberty-loving entrepreneurs!",33.089855,-96.805466,"Holy Grail Pub","Plano"
"76742862","ANNUAL KICK OFF PARTY",33.022175,-96.635925,"Murphree's","Plano"
"79203532","TURKEY RUN OFF 5K or 15K",33.034428,-96.659431,"Bob Woodruff Park","Plano"
"dlvhhdyrgbmb","Waterfalls!",33.01931,-96.731323,"Heritage Farmstead Museum","Plano"
"dlvhhdyrdbqb","Pets and Other Critters",33.01931,-96.731323,"Heritage Farmstead Museum","Plano"
"dlvhhdyrfbqb","Portraits",33.01931,-96.731323,"Heritage Farmstead Museum","Plano"
"dlvhhdyrcblb","Tree Patterns",33.01931,-96.731323,"Heritage Farmstead Museum","Plano"
"95392852","Davis Library: Readers and Waggers (grades 1-5)",33.080315,-96.750145,"Maribelle Davis Library","Plano"
"95391132","Davis Library: Library Legos",33.080315,-96.750145,"Maribelle Davis Library","Plano"
"95392312","Davis Library: Readers and Waggers (grades 1-5)",33.080315,-96.750145,"Maribelle Davis Library","Plano"
"84407792","NFC Bootcamp Dallas ($550 registration)",33.007874,-96.75161,"Alcatel Lucent Gravity Center","Plano"
