"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
295803,33.838196,-116.613518,"Palm Springs Aerial Tramway","Palm Springs","11914395"
297877,33.860001,-116.559998,"Palm Springs Desert Museum","Palm Springs","5866873"
976462,33.857346,-116.558929,"Palm Springs Aerial Tramway Parking Lot","Palm Springs","16889277|57521972"
9283412,33.825859,-116.538177,"Palm Springs Convention Center","Palm Springs","82581692"
11783382,33.787998,-116.48259,"Elvis Pressley Estate ","Palm Springs","105040442"
