"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
6549282,32.515697,-95.409401,"Lindale","Lindale","52932482|67134522|52930132|67135162|67135502|67134702|54551512|52931482|67136592"
9358242,32.532867,-95.372185,"American Legion ","Lindale","83179122"
10956672,32.502937,-95.407516,"State Farm Insurance","Lindale","97730652|104067692"
