"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
680171,39.742142,-104.996146,"Colorado Convention Center","Denver","10946668"
722407,39.743512,-105.017218,"Invesco Field at Mile High","Denver","14190624"
7801132,39.737568,-104.984718,"denver","Denver","69854092"
9233102,39.742329,-104.996796,"Denver, Colorado","Denver","82156222"
9283232,39.742756,-104.994003,"The Colorado Convention Center","Denver","82580702"
11222092,39.737568,-104.984718,"Denver ","Denver","100120752"
