"event_id","event_name","event_venue_lat","event_venue_lon","venue_name","venue_city"
"10821949","""Sundays at Six"" Concert -- La Mesa",32.783139,-116.990948,"Harry Griffin Dog Park","La Mesa"
"nljknypdbmb","San Diego Knitting Meetup",32.778587,-117.00701,"Panera Bread","La Mesa"
"nljknynnbrb","San Diego Knitting Meetup",32.778587,-117.00701,"Panera Bread","La Mesa"
"nljknypcbqb","San Diego Knitting Meetup",32.778587,-117.00701,"Panera Bread","La Mesa"
"nljknynpbnb","San Diego Knitting Meetup",32.778587,-117.00701,"Panera Bread","La Mesa"
"14781435","Dinner at Casa De Pico and Movie Grossmont Center",32.781025,-117.0108,"Casa De Pico","La Mesa"
"12548622","Dinner at Casa De Pico and Movie at Grossmont Center",32.781025,-117.0108,"Casa De Pico","La Mesa"
"10754363","The SD Readers and Eaters Book Club! July Meetup",32.774605,-117.04928,"DZ Akin's","San Diego"
"12231697","February Scrabble Up!",32.792374,-116.98754,"Dawn and Alec's House","El Cajon"
"12231707","March Scrabble Up!",32.792374,-116.98754,"Dawn and Alec's House","El Cajon"
"9452778","Mods Vs Rockers 8 San Diego ",32.764803,-117.019375,"Cosmos Coffee Shop","La Mesa"
"13520620","San Diego Turtle Women's Moon Lodge - Talking to Spirits",32.759888,-117.017397,"Katies Office","La Mesa"
"13520591","San Diego Turtle Women's Moon Lodge - The Heart to Lead",32.759888,-117.017397,"Katies Office","La Mesa"
"13520628","San Diego Turtle Women's Moon Lodge - Self Care for the Holidays!",32.759888,-117.017397,"Katies Office","La Mesa"
"13520608","San Diego Turtle Women's Moon Lodge - Inner Children Play!",32.759888,-117.017397,"Katies Office","La Mesa"
"12566519","Turtle Women Moon Lodge: Katherine Wolf",32.759888,-117.017397,"Katies Office","La Mesa"
"12566483","Turtle Women Moon Lodge: Lynda Yraceburu",32.759888,-117.017397,"Katies Office","La Mesa"
"10575351","Lake Murray East",32.770596,-117.025566,"Lake Murray","La Mesa"
"10788176","A Bead Party",32.772835,-117.005745,"The Bouncing Bead","La Mesa"
"10404209","A Bead Party",32.772835,-117.005745,"The Bouncing Bead","La Mesa"
"12661549","Lake Murray Run",32.78033,-117.03998,"Lake Murray","La Mesa"
"10954339","Solar cooking demonstration and workshop  Sustain La Mesa Environmental Fest",32.78314,-116.99095,"Harry Griffen Park","La Mesa"
"25564551","RAGNAR LAS VEGAS Meeting",32.777534,-117.011581,"Bj's Restaurant In La Mesa","La Mesa"
"10949720","El Cajon Concerts on the Green - Eve Selis",32.79485,-116.960044,"Prescott Promenade","El Cajon"
"9483838","Valentines's  Massage Party",32.79663,-117.01716,"Angels Nest","San Diego "
"9371695","Bliss For Your BACK - Massage Playshop",32.79663,-117.01716,"Angels Nest","San Diego "
"9483951","Bliss For Your BACK - Massage Playshop",32.79663,-117.01716,"Angels Nest","San Diego "
"9371903","Angels Nest Potluck",32.79663,-117.01716,"Angels Nest","San Diego "
"12558316","Arizona Bike Week",32.777535,-117.011584,"Starbucks Coffee","La Mesa"
"15449235","Be Thinking About It......AZ Bike Week",32.777535,-117.011584,"Starbucks Coffee","La Mesa"
"17215714","Female Ride",32.779644,-117.010081,"GROSSMONT CENTER","La Mesa"
"59417952","Len Rainey and Midnight Players with Johnny Vernazza",32.779644,-117.010081,"GROSSMONT CENTER","La Mesa"
"10459518","Full Moon Hike",32.804294,-117.038016,"Cowles Mountain","San Diego"
"10459528","Full Moon Hike",32.804294,-117.038016,"Cowles Mountain","San Diego"
"12559496","Casual Yet Classy Wine Night ~ Topic: Assertion/Declaration Model ",32.765845,-117.017397,"Gio Wine Bar and Restaurant","La Mesa"
"dxbqdcyppbwb","Evening Stationary Bike Training",32.779744,-117.015267,"Trek Bicycle SuperStore La Mesa","La Mesa"
"dxbqdcyppbtb","Evening Stationary Bike Training",32.779744,-117.015267,"Trek Bicycle SuperStore La Mesa","La Mesa"
"15225749","Round Robyn Mealtime Meet-UP",32.777535,-117.011584,"Olive Garden","La Mesa"
"12194727","Hometown Weekend Retreat at the Lake",32.779457,-117.039948,"Lake Murray Park","San Diego"
"10078812","Bike Nite at Cajon Classic Cruise",32.795195,-116.960543,"Downtown Cafe Bar & Grille ","El Cajon"
"10710945","Massage Party",32.803574,-117.026443,"Angels Nest","San Diego "
"12355114","Photography 102 - Getting to Know Your Camera",32.768631,-117.044098,"eBoost","San Diego"
"12878101","4:PM Casual coffee ",32.770378,-117.025833,"Starbucks","La Mesa"
"13923824","1st Focus Group",32.770378,-117.025833,"Starbucks","La Mesa"
"14272084","Casual coffee",32.770378,-117.025833,"Starbucks","La Mesa"
"14931762","Back to Thursday morning rides! ",32.770378,-117.025833,"Starbucks","La Mesa"
"13540692","focus Group: (Study Group Outline)",32.770378,-117.025833,"Starbucks","La Mesa"
"13540686","Casual Coffee ~  Dream Patterning (La Mesa)",32.770378,-117.025833,"Starbucks","La Mesa"
"14819580","Casual Coffee",32.770378,-117.025833,"Starbucks","La Mesa"
"12424048","Game Night ~ Casual coffee ~ Apples to Apples or Grounded or Ungrounded ~ FUN",32.770378,-117.025833,"Starbucks","La Mesa"
"12820525","Sunday Brunch at El Torito La Mesa",32.770508,-117.025679,"El Torito","La Mesa"
