"member_id","partition","partition_time","max_intersect_events","events_num"
227,1,1306862472,3,5
1949,1,1313861417,5,11
5305,1,1315116000,2,9
18613,1,1281292199,5,8
34904,1,1298614117,2,6
49898,1,1284772709,44,96
58046,1,1318614650,5,12
58053,1,1284842951,2,5
67517,1,1280803026,2,9
70220,1,1359243172,5,12
74453,1,1358325201,2,5
82848,1,1322988953,4,11
98354,1,1287643742,4,7
98603,1,1299947680,2,8
107952,1,1309169727,3,11
132392,1,1327053142,3,5
135763,1,1340901586,4,14
141629,1,1278928652,8,15
145326,1,1287623265,21,35
149305,1,1326548656,2,6
177591,1,1353465040,3,10
180940,1,1296116388,7,35
197851,1,1319526992,3,13
203475,1,1295439638,24,147
207548,1,1318960144,2,17
207822,1,1279848860,3,5
217845,1,1283938566,3,5
218159,1,1168094298,1,6
219767,1,1314117452,3,7
235609,1,1338070896,2,9
240602,1,1293588403,3,22
249796,1,1300315574,22,137
256585,1,1300415318,2,6
285169,1,1281636098,3,10
297061,1,1322561749,4,16
305522,1,1187616098,1,6
307747,1,1307850143,4,13
326315,1,1291640768,2,6
327558,1,1295043899,2,9
328363,1,1306378772,2,7
334611,1,1283875638,7,14
359842,1,1322661529,3,10
364151,1,1284221093,2,53
368469,1,1342356457,4,18
371105,1,1165790793,1,7
375908,1,1302543702,2,11
379081,1,1286432720,2,6
386026,1,1348367343,3,10
386943,1,1301184476,4,10
389749,1,1296653046,2,9
393307,1,1321199441,2,6
401104,1,1345343716,2,5
410855,1,1314013530,5,7
422127,1,1323386928,10,27
426960,1,1196423973,1,12
428943,1,1301489759,6,32
449574,1,1314317151,1,6
451250,1,1327718316,2,7
454435,1,1322709325,3,5
461435,1,1305862119,3,5
464483,1,1345194600,7,31
480757,1,1302311942,3,15
488247,1,1233345493,2,12
491614,1,1298115801,7,19
496340,1,1293299257,20,35
509723,1,1309803618,9,32
520362,1,1313061897,2,6
526537,1,1307479024,3,5
528943,1,1213239117,3,15
528953,1,1332937796,7,17
532476,1,1330161737,3,16
532678,1,1318074864,2,8
564889,1,1328505422,6,18
574458,1,1279658759,5,29
583282,1,1312620458,10,36
584105,1,1291246271,45,84
593660,1,1321101234,2,6
595500,1,1305548612,4,13
605139,1,1301504260,2,8
605246,1,1318186077,2,9
619151,1,1286430050,2,8
622066,1,1290240235,9,11
627065,1,1282885200,3,5
627145,1,1289503706,1,8
630688,1,1280741821,2,8
663174,1,1304188271,6,16
686819,1,1207761791,2,6
693118,1,1311332743,2,5
693980,1,1336543658,3,7
702782,1,1282580981,3,6
716885,1,1319323294,2,7
728344,1,1342223886,3,9
736107,1,1278467015,4,5
737425,1,1297654716,1,5
742976,1,1341583736,3,9
751780,1,1319515597,2,6
757216,1,1288439000,5,17
762630,1,1305216575,5,21
779522,1,1348004068,4,31
783762,1,1312031922,1,7
789717,1,1284526548,6,7
791054,1,1335829896,3,5
791112,1,1334828093,4,17
800538,1,1308443217,4,6
804950,1,1304101732,6,13
813268,1,1342446947,2,6
824723,1,1299525862,2,9
844711,1,1315859796,1,5
853736,1,1279933311,3,7
854952,1,1162096940,1,6
867616,1,1302842610,9,27
871058,1,1182687294,3,11
883878,1,1311117218,5,16
892656,1,1287340802,3,7
913676,1,1306130058,2,7
918743,1,1300834379,22,61
930518,1,1341913916,2,8
937350,1,1282158680,3,10
940315,1,1169496038,1,5
952932,1,1323197072,3,11
957546,1,1304986920,1,8
960263,1,1279710482,18,45
964120,1,1290414884,6,7
970152,1,1282351733,1,5
985487,1,1277055839,2,8
985795,1,1312113108,3,9
988943,1,1329638737,4,6
1002515,1,1296100419,2,12
1007974,1,1295360162,6,18
1011140,1,1161804939,1,6
1017722,1,1333590957,7,81
1026970,1,1335744350,3,6
1029571,1,1307687944,2,7
1038494,1,1333033159,6,32
1049377,1,1307700472,1,8
1051195,1,1210437373,2,7
1060351,1,1292895532,3,11
1069310,1,1311504195,3,7
1073587,1,1313522002,6,6
1074270,1,1328460734,2,6
1087746,1,1344894196,2,5
1090198,1,1279508325,6,8
1093657,1,1334657604,7,26
1102932,1,1315005396,2,5
1108527,1,1342545755,7,16
1110350,1,1295163260,1,7
1113515,1,1290755792,14,42
1118722,1,1340755618,4,7
1122370,1,1314061749,25,103
1154477,1,1336442626,3,7
1154915,1,1328855233,5,15
1176433,1,1316785716,2,8
1187501,1,1359134475,2,7
1192662,1,1351180847,3,6
1201258,1,1312601615,3,6
1222343,1,1313988996,2,11
1223670,1,1350140518,9,48
1225494,1,1307233480,3,14
1225643,1,1336427929,4,9
1229586,1,1345011284,9,43
1234664,1,1283050774,4,12
1253854,1,1329320064,10,48
1253977,1,1354226561,2,5
1256593,1,1295308621,49,135
1268462,1,1330699286,2,8
1284201,1,1297580123,2,8
1285098,1,1319607402,5,28
1287147,1,1294571291,3,11
1293741,1,1352875353,32,219
1301024,1,1277347047,2,5
1314515,1,1328669857,8,23
1325413,1,1353985059,3,5
1325800,1,1301240277,5,11
1337902,1,1280904796,4,8
1346167,1,1170883527,1,7
1364099,1,1294336937,8,15
1365541,1,1350504585,5,6
1416146,1,1298425993,2,5
1422525,1,1351308193,7,51
1431629,1,1271273520,2,8
1432534,1,1310176077,2,8
1434070,1,1313202185,6,22
1446273,1,1315535040,5,29
1449479,1,1320292728,4,12
1449794,1,1280429844,2,6
1453005,1,1356141107,7,16
1473423,1,1343101210,4,9
1493836,1,1339227757,4,20
1506496,1,1296361672,1,8
1509150,1,1307687601,7,18
1516838,1,1344722878,3,18
1517613,1,1325740508,3,6
1517841,1,1309203991,1,5
1528372,1,1181486491,1,6
1536997,1,1287458017,4,24
1539134,1,1338692429,4,14
1547827,1,1306312786,2,9
1552386,1,1301782150,6,13
1559060,1,1294280930,4,6
1561843,1,1313605142,2,12
1576110,1,1306660074,7,27
1578704,1,1307867900,15,22
1589442,1,1354599721,5,15
1592495,1,1287874548,2,8
1592907,1,1340360354,6,26
1596655,1,1204555751,5,22
1599577,1,1280670964,2,7
1605981,1,1310490262,10,45
1607430,1,1221770017,2,7
1614014,1,1328211742,5,17
1619478,1,1277122855,3,11
1625144,1,1218306061,1,5
1631939,1,1306874661,5,6
1645089,1,1291400255,9,30
1681148,1,1281463128,2,9
1689075,1,1334178673,3,18
1690727,1,1332977654,3,10
1696267,1,1292104654,19,46
1698381,1,1307178524,2,10
1703773,1,1283427918,17,34
1704184,1,1289163403,1,5
1710188,1,1312590279,4,7
1719879,1,1308396926,2,5
1733505,1,1329937024,2,5
1736390,1,1317045849,3,18
1755898,1,1289040850,1,5
1759734,1,1322476472,7,16
1761157,1,1327945380,4,14
1764200,1,1340522659,5,11
1775797,1,1279391189,3,13
1776192,1,1297891499,2,5
1791926,1,1281826859,3,8
1791959,1,1357968474,3,5
1796064,1,1279323043,2,5
1811550,1,1309153437,3,11
1824593,1,1278613925,3,9
1831033,1,1298464631,3,6
1836388,1,1316116737,3,7
1838169,1,1329228664,3,8
1839682,1,1296607091,1,5
1840067,1,1196407290,1,5
1853442,1,1326360904,5,12
1855447,1,1191131082,2,12
1870021,1,1274105255,3,5
1872005,1,1285846238,2,11
1873745,1,1335735908,8,56
1889694,1,1307640057,10,33
1895776,1,1336196490,12,30
1903852,1,1310216078,2,7
1910092,1,1334441895,3,7
1914396,1,1345517433,3,9
1914506,1,1289669825,3,6
1915673,1,1307037590,31,173
1919946,1,1295846476,35,114
1924959,1,1321773509,2,9
1926328,1,1347631289,3,8
1926480,1,1311155486,4,11
1931368,1,1337291197,3,7
1934749,1,1314263325,7,9
1937031,1,1312579376,1,5
