"member_id","partition","partition_time","max_intersect_events","events_num"
10011,1,1202165013,10,76
11250,1,1300638338,2,5
11748,1,1219965013,3,29
11770,1,1313226048,4,19
13792,1,1220415854,2,13
16734,1,1339708771,3,21
18261,1,1279848720,3,15
26057,1,1328582297,4,12
26329,1,1279950442,3,20
28632,1,1300325979,10,67
32107,1,1298415716,7,16
33458,1,1260244136,2,5
39626,1,1252386158,1,14
40346,1,1299402384,4,11
45978,1,1328753449,4,14
52876,1,1290681911,6,52
53659,1,1292199036,12,38
59469,1,1264057061,2,12
68937,1,1266871041,2,11
69123,1,1254606455,2,5
69179,1,1331060086,4,14
78478,1,1187756109,3,9
79664,1,1302020563,14,38
86349,1,1252450242,4,9
87023,1,1283713970,65,140
90120,1,1168593984,2,15
93374,1,1282167092,3,17
97272,1,1308022078,2,8
111182,1,1256401048,2,17
112665,1,1362466543,4,8
119470,1,1267228767,1,7
120736,1,1254869306,1,5
130932,1,1289609264,2,9
132594,1,1245595297,9,18
135999,1,1287445095,16,53
143001,1,1273938311,2,7
143022,1,1347455386,3,14
144700,1,1338210848,3,16
152192,1,1293833841,15,67
153097,1,1171823423,5,44
154362,1,1199516552,4,41
157782,1,1186498445,8,66
159390,1,1157491964,1,7
168734,1,1285455744,9,21
172524,1,1336132315,5,19
173097,1,1175955707,4,31
175068,1,1331458998,3,16
176507,1,1217292992,1,13
188135,1,1225835235,2,8
189521,1,1251042215,1,8
191912,1,1321928075,9,27
197811,1,1315306966,2,9
200515,1,1221482065,3,17
201476,1,1326368902,3,8
201782,1,1270910607,4,35
202434,1,1208994597,2,7
206125,1,1318678444,2,6
206868,1,1218466369,1,6
211453,1,1309274441,3,15
212994,1,1185267809,3,14
217129,1,1261055171,1,10
219392,1,1316212697,4,32
229177,1,1217460918,3,16
229843,1,1187726554,1,14
229885,1,1270320953,2,5
238789,1,1327963199,7,41
243414,1,1280310521,6,10
243881,1,1276629176,171,552
253320,1,1292662068,162,337
253861,1,1250175917,1,9
254312,1,1284150070,2,8
254608,1,1254314733,2,17
256312,1,1231564301,3,23
256726,1,1339527426,7,62
260273,1,1184208908,5,21
275082,1,1195338452,1,6
280038,1,1269714813,11,38
282491,1,1358324392,4,6
288543,1,1270821236,8,45
296970,1,1254214522,3,19
296991,1,1208924427,1,5
298089,1,1276237216,2,6
304627,1,1325186177,3,9
304699,1,1301918355,6,36
307152,1,1349357388,4,10
309558,1,1249009975,2,8
315242,1,1317461623,2,6
322685,1,1357686509,2,15
356896,1,1321159683,5,13
363347,1,1303987233,8,62
368601,1,1203088108,3,11
373727,1,1203035802,3,10
374641,1,1187903493,2,6
385577,1,1328949640,3,13
388900,1,1288000439,3,7
390199,1,1278726643,5,21
390505,1,1273853402,2,26
393088,1,1266487125,2,5
402227,1,1342285509,2,6
407030,1,1311859313,2,9
437521,1,1269465238,1,10
438653,1,1271022764,3,18
444448,1,1237796916,2,15
445692,1,1328843052,15,89
457342,1,1308762597,3,7
457980,1,1302283392,2,8
458829,1,1251071765,2,29
462019,1,1314238804,2,12
464803,1,1347920460,3,9
472301,1,1330357601,4,15
474020,1,1263290701,4,14
476195,1,1286463924,2,8
477015,1,1326096356,5,17
477370,1,1333767461,4,24
479338,1,1266571158,2,5
482784,1,1300796311,7,36
485249,1,1228462546,2,6
488896,1,1256438174,4,9
493823,1,1284276922,2,6
502116,1,1303918894,3,47
502807,1,1347022029,3,21
509665,1,1262276922,1,5
516995,1,1327397703,5,30
524228,1,1269988809,4,8
525530,1,1307725539,3,42
531541,1,1226454175,1,5
533067,1,1235615231,4,12
539187,1,1254160173,2,10
543598,1,1278511040,22,156
545156,1,1270016140,4,18
546471,1,1277565145,1,5
548333,1,1346990965,2,7
548947,1,1300772802,5,21
553223,1,1259349504,8,40
563472,1,1168727471,3,20
565488,1,1351163757,15,53
570737,1,1290126146,4,34
572580,1,1337430841,6,32
574392,1,1250878197,6,54
577593,1,1347302290,4,10
578489,1,1315690773,2,7
599318,1,1168224576,2,22
605704,1,1263383373,2,8
609995,1,1260969247,2,7
621496,1,1213028830,4,27
621693,1,1258982973,3,21
621698,1,1351114106,5,47
625303,1,1328663265,3,10
629643,1,1273485186,2,6
637510,1,1209999901,2,8
650633,1,1202002288,2,30
659186,1,1250213491,1,9
662889,1,1259603413,1,5
664526,1,1274868919,4,45
664977,1,1257102399,2,5
672465,1,1358326395,3,6
676949,1,1271971628,2,11
678817,1,1311226287,3,8
691832,1,1340131252,2,7
694682,1,1343844244,2,5
696228,1,1358756383,3,11
704745,1,1291764495,2,8
708443,1,1325158395,3,11
711045,1,1275725753,2,13
715152,1,1200612322,2,12
721355,1,1264197486,8,101
725591,1,1329837349,11,114
726144,1,1317292489,4,11
738842,1,1361460677,2,6
740123,1,1284761352,12,37
742631,1,1280950566,4,15
746627,1,1250970388,1,7
749181,1,1358186177,19,60
753034,1,1273585099,11,69
754284,1,1281388000,2,5
755896,1,1231461833,3,7
771192,1,1275284872,3,16
775566,1,1293777181,2,5
776462,1,1208501400,3,17
783953,1,1297648022,3,15
787919,1,1281573528,3,9
792648,1,1281410830,2,14
806969,1,1273950596,4,32
807120,1,1267451632,2,8
815679,1,1323130810,2,9
822181,1,1195348936,1,27
827290,1,1245844767,1,9
829866,1,1266558902,1,10
841072,1,1276628257,6,25
841494,1,1266716674,4,7
844155,1,1221079882,3,47
851770,1,1253282962,3,28
861363,1,1203343076,1,11
863284,1,1286957187,3,7
865092,1,1268956792,2,5
865459,1,1268438361,2,25
868058,1,1314777793,8,73
869972,1,1259368361,6,22
870693,1,1338833987,12,59
876712,1,1333820573,5,15
891191,1,1322611639,3,15
893755,1,1288687751,11,129
902695,1,1223937567,2,15
909819,1,1326195553,5,14
920751,1,1262930434,2,6
922770,1,1275048147,5,19
925261,1,1260949500,1,8
926408,1,1218193030,2,5
929028,1,1335216681,7,26
934586,1,1255377084,4,11
946374,1,1174561926,6,20
950080,1,1332848896,3,19
965393,1,1245822218,2,5
967696,1,1246686102,2,6
968999,1,1296893101,2,6
969186,1,1340664347,3,15
972218,1,1296612048,446,1076
988698,1,1191011936,1,6
994616,1,1179791946,3,29
1003374,1,1320831036,3,11
1005243,1,1296012648,8,31
1023345,1,1356943461,7,17
1055551,1,1228945086,1,7
1056694,1,1280729157,3,11
1071429,1,1352160516,2,12
1077340,1,1256006050,2,6
1086893,1,1275103497,2,13
1103741,1,1253664705,2,12
1113088,1,1279461150,2,7
1115267,1,1297016099,3,12
1122605,1,1284176320,2,11
1127670,1,1301264648,2,9
1128772,1,1307202537,3,13
1131762,1,1295508204,9,22
1135147,1,1346841667,13,97
1140601,1,1269075272,1,6
1155772,1,1203758229,1,13
1164245,1,1350299803,6,52
1173770,1,1312548493,2,14
1177608,1,1265179400,2,5
1181966,1,1360389558,3,15
1187989,1,1289894444,3,15
1188117,1,1336796720,4,26
1197460,1,1163813996,3,11
1198919,1,1277184438,13,58
1206133,1,1183259134,3,5
1207724,1,1276804211,4,18
1208824,1,1215985698,2,20
1211327,1,1193109611,1,6
1212941,1,1276573298,3,8
1214496,1,1248792078,3,5
1221333,1,1255071840,3,14
1221870,1,1282799313,7,21
1230100,1,1343239971,4,15
1237451,1,1262694055,3,31
1242380,1,1318004551,2,7
1245247,1,1331359774,5,14
1251466,1,1287399978,9,24
1259103,1,1296699492,4,10
1264630,1,1206447152,2,15
1274174,1,1222296552,4,25
1280423,1,1221934405,2,7
1290936,1,1292822866,3,14
1294043,1,1235319078,2,15
1299736,1,1199244374,1,9
1302461,1,1250787727,6,35
1315166,1,1204309316,4,14
1344917,1,1237689265,2,6
1351137,1,1336240378,5,12
1351522,1,1243108317,1,6
1354273,1,1165867849,1,5
1357993,1,1340659429,3,28
1364985,1,1332448356,3,8
1371941,1,1271423235,4,11
1373922,1,1361043809,9,9
1376455,1,1176984129,4,28
1378439,1,1322231402,5,15
1380862,1,1295689842,3,10
1380893,1,1360886845,3,11
1381455,1,1231187508,2,6
1398630,1,1274583612,12,56
1400397,1,1327443261,3,25
1402190,1,1298248143,6,12
1412874,1,1262812551,3,14
1426775,1,1193239679,3,14
1429747,1,1314673848,4,37
1433993,1,1269024881,9,60
1443572,1,1358165720,6,49
1451214,1,1264832061,2,5
1454081,1,1269716273,3,12
1456046,1,1287418115,18,50
1457603,1,1233184076,1,9
1457818,1,1234820179,4,9
1458539,1,1286407971,56,144
1470115,1,1267077164,2,8
1483595,1,1252490977,2,26
1489662,1,1258600008,3,13
1496581,1,1281284934,4,14
1501261,1,1276582954,6,19
1503581,1,1255074346,1,5
1505317,1,1259933272,3,23
1509186,1,1255210237,1,5
1524854,1,1263541192,3,11
1527844,1,1307431077,10,48
1535720,1,1304016012,2,11
1536878,1,1294111112,5,21
1539873,1,1199868475,1,11
1540856,1,1202466350,4,20
1548719,1,1232843281,2,5
1556663,1,1319238437,2,5
1557768,1,1358659484,3,5
1569842,1,1310636831,7,31
1580227,1,1252155689,2,7
1583481,1,1265510400,1,5
1606868,1,1319676790,2,5
1614083,1,1296885044,7,20
1614109,1,1253189593,2,6
1621577,1,1232257940,3,9
1624404,1,1192817593,2,13
1627234,1,1175700970,5,48
1631878,1,1313872071,2,15
1634940,1,1285872030,4,11
1643608,1,1310778861,3,19
1645918,1,1189396272,1,7
1649518,1,1340916568,3,11
1658556,1,1350671342,6,51
1662649,1,1312682988,3,11
1673590,1,1261888602,2,19
1675758,1,1293853490,2,10
1679490,1,1172962829,2,17
1680555,1,1252758431,3,29
1684662,1,1326483802,2,16
1696157,1,1216211091,1,7
1710942,1,1308444067,5,70
1711396,1,1289003223,2,15
1717866,1,1272554967,3,22
1718457,1,1271357390,2,16
1719935,1,1326050054,5,41
1720019,1,1342032879,5,38
1721496,1,1218950932,2,10
1731899,1,1282779249,7,34
1737669,1,1270763878,4,7
1745710,1,1301799638,2,7
1758344,1,1172928619,1,6
1760266,1,1279720145,10,23
1760823,1,1253256307,2,19
1761062,1,1282792024,4,37
1762565,1,1291839291,2,6
1767412,1,1255653057,1,8
1769257,1,1260675409,1,6
1773294,1,1256239671,1,5
1774341,1,1255221017,2,7
1778960,1,1250408218,1,7
1783840,1,1342226780,4,23
1789977,1,1223637993,1,9
1791943,1,1312106359,2,7
1796390,1,1269129129,2,36
1796793,1,1327155959,2,7
1798383,1,1344441364,4,11
1798679,1,1170426372,1,13
1810283,1,1277715306,6,11
1827633,1,1303413201,7,36
1828614,1,1279181191,5,21
1829433,1,1268516790,7,35
1829904,1,1259725119,2,8
1836055,1,1304491919,2,6
1838109,1,1345596864,5,39
1843883,1,1267344138,3,7
1844865,1,1353420587,3,30
1845103,1,1270603231,2,17
1849387,1,1297084199,4,19
1851191,1,1326948245,3,32
1852262,1,1340327161,4,38
1854549,1,1286921663,5,8
1854642,1,1336204382,8,42
1870743,1,1186294082,4,25
1873528,1,1266384640,3,9
1873995,1,1231979378,5,15
1874482,1,1280531445,2,14
1875289,1,1255660423,1,6
1878321,1,1281551210,14,65
1879836,1,1345467357,2,7
1880640,1,1345844310,5,29
1888594,1,1260658196,1,5
1889601,1,1252627530,2,10
1892435,1,1295029494,4,9
1900430,1,1348125951,4,17
1901020,1,1346995499,2,7
1902117,1,1245291180,4,44
1903921,1,1278885395,5,35
1904818,1,1284183294,4,25
1906490,1,1170956348,2,9
1909502,1,1322755203,3,7
1910305,1,1259703205,4,30
1911045,1,1220186672,2,12
1913252,1,1343848337,6,26
1914780,1,1272162562,3,9
1916243,1,1167792461,2,24
1917685,1,1207812005,3,62
1918357,1,1258195847,3,15
1923625,1,1278581019,3,20
1924698,1,1232625221,2,16
1924930,1,1349032997,6,42
1925304,1,1289279538,2,14
1927340,1,1333766151,34,347
1930205,1,1355060462,3,9
1930653,1,1262891820,2,7
1939486,1,1278172305,3,9
1939519,1,1268390441,2,7
1944347,1,1254439424,2,7
1947229,1,1328361212,11,26
1950618,1,1288489941,3,15
1950959,1,1274232339,4,16
1951857,1,1252256272,2,8
1956617,1,1209091783,1,11
1960219,1,1250294645,6,14
1964471,1,1163074344,1,6
1964613,1,1274408938,2,16
1968321,1,1296398056,1,6
1968584,1,1294957987,5,13
1971326,1,1286368942,4,21
1976554,1,1259706160,10,53
1978757,1,1244198279,3,16
1979084,1,1342324003,5,24
1981153,1,1202374622,3,9
1981598,1,1263797001,1,24
1982626,1,1252488857,4,9
1990921,1,1174707747,2,12
1994066,1,1328358687,14,34
1994946,1,1351954787,5,8
1996122,1,1184644716,3,6
2004229,1,1338487934,5,28
2007790,1,1351143217,3,9
2018101,1,1316471147,5,9
2018376,1,1263021802,3,12
2019124,1,1227438710,1,7
2020203,1,1271598812,2,6
2023573,1,1249394879,2,7
2026555,1,1282509872,6,18
2030978,1,1234335015,2,7
2031380,1,1174512685,2,20
2031433,1,1287331440,5,10
2032936,1,1248861235,4,21
2038277,1,1309588061,17,169
2044829,1,1272649043,4,11
2045862,1,1191166210,4,55
2047197,1,1266214446,2,20
2048021,1,1261237833,2,7
