"venue_id","venue_lat","venue_lon","venue_name","venue_city","all_event_ids"
789141,37.517791,-122.512854,"Moss Beach Distillery","Moss Beach","12837207"
1015425,37.523635,-122.516045,"Moss Beach","Moss Beach","72083712"
1362226,37.528229,-122.513188,"Joy of Being","Moss Beach","63733112|67958442|67959102"
1555569,37.526852,-122.507927,"Upper parking Lot behind trailers(follow signs to upper lot  once at Seton)","Moss Beach","16864132|dbmrqypfbdc|dbmrqypgbhb|dbmrqypgbqb|dbmrqypgbzb|dbmrqypgbjc|dbmrqyphbfb|dbmrqyphbnb|dbmrqyphbwb|dbmrqyphbgc|dbmrqyphbpc|dbmrqypjbkb|dbmrqypjbsb|dbmrqypjbcc|dbmrqypjblc|dbmrqypkbhb|dbmrqypkbqb|dbmrqypkbzb|dbmrqypkbjc|dbmrqyplbdb|dbmrqyplbmb|dbmrqyplbvb|dbmrqyplbfc|dbmrqyplbnc|dbmrqypmbjb|dbmrqypmbrb|dbmrqypmbbc|dbmrqypmbkc|dbmrqypnbgb|dbmrqypnbpb|dbmrqypnbxb|dbmrqypnbhc|dbmrqyppbcb|dbmrqyppblb|dbmrqyppbtb"
1567612,37.524647,-122.496155,"Ember Ridge Equestrian Center","Moss Beach","lbmrqypfbkc|lbmrqypgbgc|lbmrqyphbmc|lbmrqypjbjc|lbmrqypkbpc|lbmrqyplblc|lbmrqypmbhc|lbmrqypnbnc|lbmrqyppbkc|lbmrqypqbhc|lbmrqyqcbmc|lbmrqyqdbjc|lbmrqyqfbhc|lbmrqyqgbmc|lbmrqyqhbkc|lbmrqyqjbgc|lbmrqyqkbmc|lbmrqyqlbjc|lbmrqyqmbnc"
5274472,37.517788,-122.512848,"Moss Beach Distillery","Moss Beach","48961162"
5376182,37.524109,-122.516701,"Fitzgerald Marine Reserve","Moss Beach","49228792"
7137662,37.524109,-122.516701,"(J V Fitzgerald Marine Reserve)","Moss Beach","64257252"
7422512,37.51775,-122.512764,"Moss Beach Distillery","Moss Beach","66682482"
9889502,37.522797,-122.506531,"http://goo.gl/maps/QWsFp","Moss Beach","qpdwqdyqpbhc"
