"event_id","event_name","event_venue_lat","event_venue_lon","venue_name","venue_city"
"13593640","Dad's Night Out July 20 Sultana Menlo Park 7pm",37.453873,-122.1837,"Sultana","Menlo Park"
"13095169","Targeting Net-Zero Energy: Homes for a Small Planet",37.453022,-122.18172,"Kepler's Books","Menlo Park"
"13974324","Do It Yourself from Acterra Green@Home",37.453022,-122.18172,"Kepler's Books","Menlo Park"
"14807143","Low Cost Strategies for Building Zero-Energy Homes",37.453022,-122.18172,"Kepler's Books","Menlo Park"
"16595471","Hear Thea Singer speak about her ""Stress Less"" book! ",37.453022,-122.18172,"Kepler's Books","Menlo Park"
"14125892","A 3D View of Sustainability ",37.453022,-122.18172,"Kepler's Books","Menlo Park"
"12763629","Building a Beautiful Carbon Neutral Home",37.453022,-122.18172,"Kepler's Books","Menlo Park"
"cnlqqyphbgb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypfbnc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypgbkc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypjbcb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypkbkc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypgbrb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypfbfc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypgbbc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypkbbc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypgbjb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypkbrb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypjbtb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqyphbhc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqyphbxb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypjblb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypjbdc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypkbjb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqyphbpb","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"cnlqqypjbmc","Weekly Meeting",37.449966,-122.186226,"Menlo Park Presbyterian Church","Menlo Park"
"xpwfqypdbtb","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypdblb","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypfblb","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypfbtb","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypdbdc","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypdbcb","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"16016109","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypfbmc","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"xpwfqypfbdc","The Menlo Park French Conversation Group",37.453022,-122.18172,"Cafe Borrone","Menlo Park"
"vjtkpypjbbc","WWDC Afterparty at MacArthur Park with Music and Inspiration from Smule",37.443168,-122.16555,"MacArthur Park","Palo Alto"
"14266292","International Beer Day @ British Banker's Club!!!",37.453757,-122.182652,"British Bankers Club","Menlo Park"
"xjqhnynhbrb","Happy Hour- Menlo Park- BBC ",37.453757,-122.182652,"British Bankers Club","Menlo Park"
